"ISSN","Título","Área de Avaliação","Estrato"
"2177-6083","Administração: Ensino e Pesquisa (RAEP)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"2358-0917","Administração:Ensino e Pesquisa","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"1983-7089","ADMpg: GESTÃO ESTRATÉGICA.","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"1679-9941","ADOLESCÊNCIA & SAÚDE (UERJ)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"2042-4868","ADVANCE JOURNAL OF FOOD SCIENCE AND TECHNOLOGY","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"2042-4876","ADVANCED JOURNAL OF FOOD SCIENCE AND TECHNOLOGY","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"1662-8985","ADVANCED MATERIALS RESEARCH (ONLINE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B1"
"0882-6110","ADVANCES IN ACCOUNTING","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B1"
"0098-9258","ADVANCES IN CONSUMER RESEARCH","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"2164-2648","ADVANCES IN INFECTIOUS DISEASES","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"2194-5357","ADVANCES IN INTELLIGENT SYSTEMS AND COMPUTING","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B1"
"1474-7979","ADVANCES IN INTERNATIONAL MARKETING","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B1"
"1983-8611","ADVANCES IN SCIENTIFIC AND APPLIED ACCOUNTING","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B1"
"1984-5634","AEDOS: REVISTA DO CORPO DISCENTE DO PROGRAMA DE PÓS-GRADUAÇÃO EM HISTÓRIA DA UFRGS (ONLINE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"2318-8499","AGENDA POLÍTICA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"1981-9862","AGENDA SOCIAL (UENF)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"0103-3557","AGORA (FLORIANOPOLIS)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"1984-2538","AGRARIAN (DOURADOS. ONLINE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"0742-4477","AGRIBUSINESS (NEW YORK, N.Y. PRINT)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"1414-0810","AGRICULTURA FAMILIAR (UFPA)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B5"
"1887-9292","AGRICULTURA FAMILIAR EN ESPAÑA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B5"
"2193-7532","AGRICULTURAL AND FOOD ECONOMICS","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"0308-521X","AGRICULTURAL SYSTEMS","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"1316-0354","AGROALIMENTARIA (CARACAS)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B1"
"0100-4298","AGROANALYSIS (FGV)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","C"
"1510-0839","AGROCIENCIA (MONTEVIDEO)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"0002-1962","AGRONOMY JOURNAL (PRINT)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"1808-1150","AGRÁRIA (SÃO PAULO. ONLINE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B5"
"2340-7743","AGUA Y TERRITORIO","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"1413-2591","Alcance (UNIVALI)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"1413-2591","ALCANCE (UNIVALI) (CESSOU EM 2007)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"1518-8728","ALCEU (PUCRJ)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"1981-5433","ALMANAQUE UNIGRANRIO DE PESQUISA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B5"
"2322-6307","AMAZONIA INVESTIGA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"1809-4058","AMAZÔNIA (BANCO DA AMAZÔNIA. 2005)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B5"
"2317-5125","Amazônia (UFPA)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"2317-5125","AMAZÔNIA - REVISTA DE EDUCAÇÃO EM CIÊNCIAS E MATEMÁTICAS (ONLINE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"2317-4757","AMAZÔNIA EM FOCO: CIÊNCIA E TECNOLOGIA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B5"
"2238-8893","Amazônia, Organizações e Sustentabilidade","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"1983-3415","AMAzônica - Revista de Psicopedagogia, Psicologia Escolar e Educação","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B5"
"1809-4422","AMBIENTE & SOCIEDADE (ONLINE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B1"
"1678-8621","AMBIENTE CONSTRUÍDO (ONLINE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"1414-753X","AMBIENTE E SOCIEDADE (CAMPINAS)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B1"
