"ISSN","TITULO","AREA DE AVALIACAO","ESTRATO"
"1110-662X","INTERNATIONAL JOURNAL OF PHOTOENERGY (PRINT)","ASTRONOMIA / FISICA","B3"
"1687-9422","INTERNATIONAL JOURNAL OF POLYMER SCIENCE","ASTRONOMIA / FISICA","B3"
"1311-8080","INTERNATIONAL JOURNAL OF PURE AND APPLIED MATHEMATICS","ASTRONOMIA / FISICA","B5"
"0265-671X","INTERNATIONAL JOURNAL OF QUALITY AND RELIABILITY MANAGEMENT","ASTRONOMIA / FISICA","C"
"0020-7608","INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY","ASTRONOMIA / FISICA","B1"
"0219-7499","INTERNATIONAL JOURNAL OF QUANTUM INFORMATION","ASTRONOMIA / FISICA","B4"
"0140-7007","INTERNATIONAL JOURNAL OF REFRIGERATION","ASTRONOMIA / FISICA","B2"
"2076-7366","INTERNATIONAL JOURNAL OF RESEARCH AND REVIEWS IN APPLIED SCIENCES","ASTRONOMIA / FISICA","C"
"2319-1163","INTERNATIONAL JOURNAL OF RESEARCH IN ENGINEERING AND TECHNOLOGY","ASTRONOMIA / FISICA","C"
"1365-1609","INTERNATIONAL JOURNAL OF ROCK MECHANICS AND MINING SCIENCES (1997)","ASTRONOMIA / FISICA","B3"
"0165-2516","INTERNATIONAL JOURNAL OF THE SOCIOLOGY OF LANGUAGE","ASTRONOMIA / FISICA","C"
"0020-7748","INTERNATIONAL JOURNAL OF THEORETICAL PHYSICS","ASTRONOMIA / FISICA","B3"
"1290-0729","INTERNATIONAL JOURNAL OF THERMAL SCIENCES","ASTRONOMIA / FISICA","B1"
"0195-928X","INTERNATIONAL JOURNAL OF THERMOPHYSICS","ASTRONOMIA / FISICA","B4"
"0268-3768","INTERNATIONAL JOURNAL, ADVANCED MANUFACTURING TECHNOLOGY","ASTRONOMIA / FISICA","B3"
"0950-6608","INTERNATIONAL MATERIALS REVIEWS","ASTRONOMIA / FISICA","A1"
"2356-7872","INTERNATIONAL SCHOLARLY RESEARCH NOTICES","ASTRONOMIA / FISICA","C"
"1524-6965","INTERNATIONAL SOCIETY FOR MAGNETIC RESONANCE IN MEDICINE. SCIENTIFIC MEETING AND EXHIBITION. PROCEEDINGS","ASTRONOMIA / FISICA","C"
"2326-3121","INTERNATIONAL TRENDS IN IMMUNITY","ASTRONOMIA / FISICA","C"
"2052-2525","INTERNATIONAL UNION OF CRYSTALLOGRAPHY JOURNAL","ASTRONOMIA / FISICA","A2"
"0947-7047","IONICS (KIEL)","ASTRONOMIA / FISICA","B1"
"1755-1315","IOP CONFERENCE SERIES. EARTH AND ENVIRONMENTAL SCIENCE (ONLINE)","ASTRONOMIA / FISICA","C"
"1757-899X","IOP CONFERENCE SERIES: MATERIALS SCIENCE AND ENGINEERING (ONLINE)","ASTRONOMIA / FISICA","C"
"1757-8981","IOP CONFERENCE SERIES: MATERIALS SCIENCE AND ENGINEERING (PRINT)","ASTRONOMIA / FISICA","C"
"2322-2352","IRANIAN JOURNAL OF CERAMIC SCIENCE AND ENGINEERING","ASTRONOMIA / FISICA","C"
"0959-3020","ISOKINETICS AND EXERCISE SCIENCE","ASTRONOMIA / FISICA","B5"
"0021-2148","ISRAEL JOURNAL OF CHEMISTRY","ASTRONOMIA / FISICA","B1"
"2314-4645","ISRN ATMOSPHERIC SCIENCES","ASTRONOMIA / FISICA","C"
"1864-063X","J BIOPHOTONICS","ASTRONOMIA / FISICA","A2"
"0021-4922","JAPANESE JOURNAL OF APPLIED PHYSICS","ASTRONOMIA / FISICA","B3"
"1344-6304","JAPANESE JOURNAL OF INFECTIOUS DISEASES (PRINT)","ASTRONOMIA / FISICA","B5"
"0949-8257","JBIC. JOURNAL OF BIOLOGICAL INORGANIC CHEMISTRY (PRINT)","ASTRONOMIA / FISICA","B1"
"0021-3640","JETP LETTERS","ASTRONOMIA / FISICA","B3"
"1807-1953","JICS. JOURNAL OF INTEGRATED CIRCUITS AND SYSTEMS (ED. PORTUGUES)","ASTRONOMIA / FISICA","C"
"0254-5861","JIEGÒU HUAXUE / JOURNAL OF STRUCTURAL CHEMISTRY","ASTRONOMIA / FISICA","B5"
"0952-3499","JMR. JOURNAL OF MOLECULAR RECOGNITION","ASTRONOMIA / FISICA","B1"
"1047-4838","JOM (WARRENDALE)","ASTRONOMIA / FISICA","B3"
"2176-5634","JORNAL INTERNACIONAL DE ESTUDOS EM EDUCACAO MATEMATICA","ASTRONOMIA / FISICA","C"
"0169-4243","JOURNAL OF ADHESION SCIENCE AND TECHNOLOGY (PRINT)","ASTRONOMIA / FISICA","B4"
"1461-5185","JOURNAL OF ADHESIVE DENTISTRY","ASTRONOMIA / FISICA","B3"
"2226-4108","JOURNAL OF ADVANCED CERAMICS","ASTRONOMIA / FISICA","B5"
"2010-135X","JOURNAL OF ADVANCED DIELECTRICS","ASTRONOMIA / FISICA","C"
"2347-3487","JOURNAL OF ADVANCES IN PHYSICS","ASTRONOMIA / FISICA","C"
"1984-9648","JOURNAL OF AEROSPACE TECHNOLOGY AND MANAGEMENT","ASTRONOMIA / FISICA","B5"
"2175-9146","JOURNAL OF AEROSPACE TECHNOLOGY AND MANAGEMENT (ONLINE)","ASTRONOMIA / FISICA","B5"
"0021-8561","JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY","ASTRONOMIA / FISICA","B1"
"0925-8388","JOURNAL OF ALLOYS AND COMPOUNDS","ASTRONOMIA / FISICA","A2"
"0165-2370","JOURNAL OF ANALYTICAL AND APPLIED PYROLYSIS (PRINT)","ASTRONOMIA / FISICA","A2"
"0021-8790","JOURNAL OF ANIMAL ECOLOGY (PRINT)","ASTRONOMIA / FISICA","A2"
"0974-1844","JOURNAL OF APPLIED ANIMAL RESEARCH","ASTRONOMIA / FISICA","C"
"2280-8000","JOURNAL OF APPLIED BIOMATERIALS & FUNCTIONAL MATERIALS","ASTRONOMIA / FISICA","B5"
"1065-8483","JOURNAL OF APPLIED BIOMECHANICS","ASTRONOMIA / FISICA","B5"
"1600-5767","JOURNAL OF APPLIED CRYSTALLOGRAPHY","ASTRONOMIA / FISICA","B1"
"0021-8898","JOURNAL OF APPLIED CRYSTALLOGRAPHY","ASTRONOMIA / FISICA","B1"
"0021-891X","JOURNAL OF APPLIED ELECTROCHEMISTRY","ASTRONOMIA / FISICA","B1"
"2327-4352","JOURNAL OF APPLIED MATHEMATICS AND PHYSICS","ASTRONOMIA / FISICA","C"
"1364-5072","JOURNAL OF APPLIED MICROBIOLOGY (PRINT)","ASTRONOMIA / FISICA","B2"
"1361-6463","JOURNAL OF APPLIED PHYSICS","ASTRONOMIA / FISICA","B1"
"0021-8979","JOURNAL OF APPLIED PHYSICS","ASTRONOMIA / FISICA","B1"
"1520-8850","JOURNAL OF APPLIED PHYSICS (CD-ROM)","ASTRONOMIA / FISICA","B1"
"0021-8995","JOURNAL OF APPLIED POLYMER SCIENCE (PRINT)","ASTRONOMIA / FISICA","B2"
"1931-3195","JOURNAL OF APPLIED REMOTE SENSING","ASTRONOMIA / FISICA","B5"
"0021-9037","JOURNAL OF APPLIED SPECTROSCOPY","ASTRONOMIA / FISICA","B5"
"0266-4763","JOURNAL OF APPLIED STATISTICS","ASTRONOMIA / FISICA","B5"
"0305-4403","JOURNAL OF ARCHAEOLOGICAL SCIENCE","ASTRONOMIA / FISICA","B2"
"2251-1717","JOURNAL OF ASTRONOMICAL INSTRUMENTATION","ASTRONOMIA / FISICA","C"
"0250-6335","JOURNAL OF ASTROPHYSICS AND ASTRONOMY","ASTRONOMIA / FISICA","B5"
"1364-6826","JOURNAL OF ATMOSPHERIC AND SOLAR-TERRESTRIAL PHYSICS","ASTRONOMIA / FISICA","B2"
"1556-6560","JOURNAL OF BIOBASED MATERIALS AND BIOENERGY","ASTRONOMIA / FISICA","B5"
"0305-0270","JOURNAL OF BIOGEOGRAPHY (PRINT)","ASTRONOMIA / FISICA","B1"
"1751-3758","JOURNAL OF BIOLOGICAL DYNAMICS (PRINT)","ASTRONOMIA / FISICA","B3"
"0092-0606","JOURNAL OF BIOLOGICAL PHYSICS (PRINT)","ASTRONOMIA / FISICA","B3"
"1925-4008","JOURNAL OF BIOMEDICAL GRAPHICS AND COMPUTING","ASTRONOMIA / FISICA","C"
"1549-3296","JOURNAL OF BIOMEDICAL MATERIALS RESEARCH. PART A","ASTRONOMIA / FISICA","B1"
"1552-4973","JOURNAL OF BIOMEDICAL MATERIALS RESEARCH. PART B, APPLIED BIOMATERIALS","ASTRONOMIA / FISICA","B1"
"1550-7033","JOURNAL OF BIOMEDICAL NANOTECHNOLOGY","ASTRONOMIA / FISICA","B1"
"1083-3668","JOURNAL OF BIOMEDICAL OPTICS","ASTRONOMIA / FISICA","B1"
"1423-0127","JOURNAL OF BIOMEDICAL SCIENCE","ASTRONOMIA / FISICA","B2"
"0925-2738","JOURNAL OF BIOMOLECULAR NMR","ASTRONOMIA / FISICA","A2"
"0739-1102","JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS","ASTRONOMIA / FISICA","B1"
"2155-9821","JOURNAL OF BIOPROCESSING & BIOTECHNIQUES","ASTRONOMIA / FISICA","C"
"0168-1656","JOURNAL OF BIOTECHNOLOGY","ASTRONOMIA / FISICA","B2"
"0021-9517","JOURNAL OF CATALYSIS (PRINT)","ASTRONOMIA / FISICA","A1"
"1873-961X","JOURNAL OF CELL COMMUNICATION AND SIGNALING","ASTRONOMIA / FISICA","B2"
"1582-1838","JOURNAL OF CELLULAR AND MOLECULAR MEDICINE (PRINT)","ASTRONOMIA / FISICA","A2"
"0975-7384","JOURNAL OF CHEMICAL AND PHARMACEUTICAL RESEARCH","ASTRONOMIA / FISICA","C"
"1074-1542","JOURNAL OF CHEMICAL CRYSTALLOGRAPHY","ASTRONOMIA / FISICA","B5"
"2446-9416","JOURNAL OF CHEMICAL ENGINEERING AND CHEMISTRY","ASTRONOMIA / FISICA","C"
"1549-9596","JOURNAL OF CHEMICAL INFORMATION AND MODELING","ASTRONOMIA / FISICA","A2"
"0021-9606","JOURNAL OF CHEMICAL PHYSICS","ASTRONOMIA / FISICA","A2"
"0974-3626","JOURNAL OF CHEMICAL SCIENCES (BANGALORE)","ASTRONOMIA / FISICA","B4"
"0268-2575","JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY (1986)","ASTRONOMIA / FISICA","B2"
"1549-9618","JOURNAL OF CHEMICAL THEORY AND COMPUTATION","ASTRONOMIA / FISICA","A1"
"0021-9614","JOURNAL OF CHEMICAL THERMODYNAMICS","ASTRONOMIA / FISICA","B1"
"2090-9063","JOURNAL OF CHEMISTRY","ASTRONOMIA / FISICA","B5"
"1934-7375","JOURNAL OF CHEMISTRY AND CHEMICAL ENGINEERING","ASTRONOMIA / FISICA","C"
"1570-0232","JOURNAL OF CHROMATOGRAPHY. B (PRINT)","ASTRONOMIA / FISICA","B2"
"0959-6526","JOURNAL OF CLEANER PRODUCTION","ASTRONOMIA / FISICA","A2"
"0894-8755","JOURNAL OF CLIMATE","ASTRONOMIA / FISICA","A2"
"1989-5488","JOURNAL OF CLINICAL AND EXPERIMENTAL DENTISTRY","ASTRONOMIA / FISICA","C"
"0887-8013","JOURNAL OF CLINICAL LABORATORY ANALYSIS (PRINT)","ASTRONOMIA / FISICA","B3"
"0749-0208","JOURNAL OF COASTAL RESEARCH","ASTRONOMIA / FISICA","B5"
"0021-9797","JOURNAL OF COLLOID AND INTERFACE SCIENCE (PRINT)","ASTRONOMIA / FISICA","A2"
"1548-7709","JOURNAL OF COMMUNICATION AND COMPUTER","ASTRONOMIA / FISICA","C"
"1980-6604","JOURNAL OF COMMUNICATION AND INFORMATION SYSTEMS (ONLINE)","ASTRONOMIA / FISICA","C"
"2161-0711","JOURNAL OF COMMUNITY MEDICINE & HEALTH EDUCATION","ASTRONOMIA / FISICA","C"
"2051-1310","JOURNAL OF COMPLEX NETWORKS","ASTRONOMIA / FISICA","B2"
"0021-9983","JOURNAL OF COMPOSITE MATERIALS","ASTRONOMIA / FISICA","B3"
"1546-1955","JOURNAL OF COMPUTATIONAL AND THEORETICAL NANOSCIENCE","ASTRONOMIA / FISICA","B2"
"1066-5277","JOURNAL OF COMPUTATIONAL BIOLOGY","ASTRONOMIA / FISICA","B3"
"0192-8651","JOURNAL OF COMPUTATIONAL CHEMISTRY","ASTRONOMIA / FISICA","A2"
"1569-8025","JOURNAL OF COMPUTATIONAL ELECTRONICS (PRINT)","ASTRONOMIA / FISICA","B3"
"1983-8409","JOURNAL OF COMPUTATIONAL INTERDISCIPLINARY SCIENCES","ASTRONOMIA / FISICA","C"
"0021-9991","JOURNAL OF COMPUTATIONAL PHYSICS (PRINT)","ASTRONOMIA / FISICA","B1"
"0920-654X","JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN","ASTRONOMIA / FISICA","B1"
"0887-3801","JOURNAL OF COMPUTING IN CIVIL ENGINEERING","ASTRONOMIA / FISICA","B3"
"1526-3711","JOURNAL OF CONTEMPORARY DENTAL PRACTICE","ASTRONOMIA / FISICA","C"
"0168-3659","JOURNAL OF CONTROLLED RELEASE","ASTRONOMIA / FISICA","A2"
"0095-8972","JOURNAL OF COORDINATION CHEMISTRY (PRINT)","ASTRONOMIA / FISICA","B2"
"1476-4172","JOURNAL OF COSMETIC AND LASER THERAPY (PRINT)","ASTRONOMIA / FISICA","B5"
"1475-7516","JOURNAL OF COSMOLOGY AND ASTROPARTICLE PHYSICS","ASTRONOMIA / FISICA","A1"
"1475-7516","JOURNAL OF COSMOLOGY AND ASTROPARTICLE PHYSICS","ASTRONOMIA / FISICA","A1"
"0883-9441","JOURNAL OF CRITICAL CARE","ASTRONOMIA / FISICA","B2"
"0022-0248","JOURNAL OF CRYSTAL GROWTH","ASTRONOMIA / FISICA","B2"
"2314-5994","JOURNAL OF CRYSTALLOGRAPHY","ASTRONOMIA / FISICA","C"
"1296-2074","JOURNAL OF CULTURAL HERITAGE","ASTRONOMIA / FISICA","B3"
"0022-0302","JOURNAL OF DAIRY SCIENCE","ASTRONOMIA / FISICA","B2"
"0022-0345","JOURNAL OF DENTAL RESEARCH (PRINT)","ASTRONOMIA / FISICA","A2"
"0022-0396","JOURNAL OF DIFFERENTIAL EQUATIONS (PRINT)","ASTRONOMIA / FISICA","B2"
"0193-2691","JOURNAL OF DISPERSION SCIENCE AND TECHNOLOGY","ASTRONOMIA / FISICA","B5"
"1773-2247","JOURNAL OF DRUG DELIVERY SCIENCE AND TECHNOLOGY","ASTRONOMIA / FISICA","B5"
"1572-6657","JOURNAL OF ELECTROANALYTICAL CHEMISTRY","ASTRONOMIA / FISICA","B1"
"1385-3449","JOURNAL OF ELECTROCERAMICS","ASTRONOMIA / FISICA","B3"
"1942-0749","JOURNAL OF ELECTROMAGNETIC ANALYSIS AND APPLICATIONS","ASTRONOMIA / FISICA","C"
"1942-0730","JOURNAL OF ELECTROMAGNETIC ANALYSIS AND APPLICATIONS","ASTRONOMIA / FISICA","C"
"0920-5071","JOURNAL OF ELECTROMAGNETIC WAVES AND APPLICATIONS (PRINT)","ASTRONOMIA / FISICA","B4"
"1050-6411","JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY","ASTRONOMIA / FISICA","B3"
"0368-2048","JOURNAL OF ELECTRON SPECTROSCOPY AND RELATED PHENOMENA (PRINT)","ASTRONOMIA / FISICA","B2"
"0361-5235","JOURNAL OF ELECTRONIC MATERIALS","ASTRONOMIA / FISICA","B2"
"2447-0228","JOURNAL OF ENGINEERING AND TECHNOLOGY FOR INDUSTRIAL APPLICATIONS","ASTRONOMIA / FISICA","C"
"0733-9399","JOURNAL OF ENGINEERING MECHANICS","ASTRONOMIA / FISICA","B4"
"2213-3437","JOURNAL OF ENVIRONMENTAL CHEMICAL ENGINEERING","ASTRONOMIA / FISICA","B2"
"0301-4797","JOURNAL OF ENVIRONMENTAL MANAGEMENT","ASTRONOMIA / FISICA","B2"
"2152-2197","JOURNAL OF ENVIRONMENTAL PROTECTION (PRINT)","ASTRONOMIA / FISICA","C"
"0047-2425","JOURNAL OF ENVIRONMENTAL QUALITY","ASTRONOMIA / FISICA","B2"
"0265-931X","JOURNAL OF ENVIRONMENTAL RADIOACTIVITY","ASTRONOMIA / FISICA","B1"
"2162-5263","JOURNAL OF ENVIRONMENTAL SCIENCE AND ENGINEERING B","ASTRONOMIA / FISICA","C"
"1475-6366","JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY (PRINT)","ASTRONOMIA / FISICA","B1"
"1496-4155","JOURNAL OF ESTHETIC AND RESTORATIVE DENTISTRY","ASTRONOMIA / FISICA","B5"
"2150-2668","JOURNAL OF EXCIPIENTS AND FOOD CHEMICALS","ASTRONOMIA / FISICA","B5"
"1932-5223","JOURNAL OF EXPERIMENTAL ZOOLOGY. PART A: ECOLOGICAL GENETICS AND PHYSIOLOGY (PRINT)","ASTRONOMIA / FISICA","B4"
"0022-1112","JOURNAL OF FISH BIOLOGY","ASTRONOMIA / FISICA","B4"
"2063-0212","JOURNAL OF FLOW CHEMISTRY","ASTRONOMIA / FISICA","C"
"0022-1120","JOURNAL OF FLUID MECHANICS (PRINT)","ASTRONOMIA / FISICA","B1"
"0889-9746","JOURNAL OF FLUIDS AND STRUCTURES","ASTRONOMIA / FISICA","B2"
"1053-0509","JOURNAL OF FLUORESCENCE","ASTRONOMIA / FISICA","B2"
"0889-1575","JOURNAL OF FOOD COMPOSITION AND ANALYSIS (PRINT)","ASTRONOMIA / FISICA","B2"
"2159-5828","JOURNAL OF FOOD SCIENCE AND ENGINEERING (PRINT)","ASTRONOMIA / FISICA","C"
"0148-0227","JOURNAL OF GEOPHYSICAL RESEARCH","ASTRONOMIA / FISICA","B1"
"2156-2202","JOURNAL OF GEOPHYSICAL RESEARCH","ASTRONOMIA / FISICA","B1"
"2169-9275","JOURNAL OF GEOPHYSICAL RESEARCH: OCEANS (PRINT)","ASTRONOMIA / FISICA","C"
"2169-9380","JOURNAL OF GEOPHYSICAL RESEARCH: SPACE PHYSICS","ASTRONOMIA / FISICA","C"
"2169-9402","JOURNAL OF GEOPHYSICAL RESEARCH: SPACE PHYSICS (ON LINE)","ASTRONOMIA / FISICA","C"
"2314-6907","JOURNAL OF GRAVITY","ASTRONOMIA / FISICA","C"
"0304-3894","JOURNAL OF HAZARDOUS MATERIALS (PRINT)","ASTRONOMIA / FISICA","A2"
"2214-4048","JOURNAL OF HIGH ENERGY ASTROPHYSICS","ASTRONOMIA / FISICA","B1"
"0022-1694","JOURNAL OF HYDROLOGY (AMSTERDAM)","ASTRONOMIA / FISICA","B2"
"1525-755X","JOURNAL OF HYDROMETEOROLOGY (PRINT)","ASTRONOMIA / FISICA","B1"
"1388-3127","JOURNAL OF INCLUSION PHENOMENA AND MACROCYCLIC CHEMISTRY","ASTRONOMIA / FISICA","B3"
"1751-1577","JOURNAL OF INFORMATRICS","ASTRONOMIA / FISICA","B1"
"1574-1443","JOURNAL OF INORGANIC AND ORGANOMETALLIC POLYMERS AND MATERIALS (PRINT)","ASTRONOMIA / FISICA","B3"
"0162-0134","JOURNAL OF INORGANIC BIOCHEMISTRY","ASTRONOMIA / FISICA","B1"
"0892-7553","JOURNAL OF INSECT BEHAVIOR","ASTRONOMIA / FISICA","B5"
"1748-0221","JOURNAL OF INSTRUMENTATION","ASTRONOMIA / FISICA","B1"
"1748-0221","JOURNAL OF INSTRUMENTATION","ASTRONOMIA / FISICA","B1"
"1018-3647","JOURNAL OF KING SAUD UNIVERSITY - SCIENCE","ASTRONOMIA / FISICA","B5"
"1880-0688","JOURNAL OF LASER MICRO NANOENGINEERING","ASTRONOMIA / FISICA","B4"
"0733-8724","JOURNAL OF LIGHTWAVE TECHNOLOGY (PRINT)","ASTRONOMIA / FISICA","B1"
"0022-2291","JOURNAL OF LOW TEMPERATURE PHYSICS","ASTRONOMIA / FISICA","B4"
"0022-2313","JOURNAL OF LUMINESCENCE","ASTRONOMIA / FISICA","B1"
"1090-7807","JOURNAL OF MAGNETIC RESONANCE (SAN DIEGO, CALIF. 1997: PRINT)","ASTRONOMIA / FISICA","B1"
"0304-8853","JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS","ASTRONOMIA / FISICA","B1"
"0924-7963","JOURNAL OF MARINE SYSTEMS","ASTRONOMIA / FISICA","B2"
"1076-5174","JOURNAL OF MASS SPECTROMETRY (PRINT)","ASTRONOMIA / FISICA","B1"
"2050-7526","JOURNAL OF MATERIALS CHEMISTRY","ASTRONOMIA / FISICA","A1"
"2050-7488","JOURNAL OF MATERIALS CHEMISTRY A","ASTRONOMIA / FISICA","A1"
"2050-750X","JOURNAL OF MATERIALS CHEMISTRY B","ASTRONOMIA / FISICA","A1"
"2050-7526","JOURNAL OF MATERIALS CHEMISTRY C","ASTRONOMIA / FISICA","A1"
"0959-9428","JOURNAL OF MATERIALS CHEMISTRY C","ASTRONOMIA / FISICA","A1"
"1059-9495","JOURNAL OF MATERIALS ENGINEERING AND PERFORMANCE (PRINT)","ASTRONOMIA / FISICA","B5"
"0924-0136","JOURNAL OF MATERIALS PROCESSING TECHNOLOGY","ASTRONOMIA / FISICA","B1"
"0884-2914","JOURNAL OF MATERIALS RESEARCH","ASTRONOMIA / FISICA","B2"
"0022-2461","JOURNAL OF MATERIALS SCIENCE","ASTRONOMIA / FISICA","B1"
"1573-4803","JOURNAL OF MATERIALS SCIENCE (DORDRECHT. ONLINE)","ASTRONOMIA / FISICA","B1"
"2161-6221","JOURNAL OF MATERIALS SCIENCE AND ENGINEERING (A&B)","ASTRONOMIA / FISICA","C"
"0957-4522","JOURNAL OF MATERIALS SCIENCE. MATERIALS IN ELECTRONICS","ASTRONOMIA / FISICA","B2"
"0957-4530","JOURNAL OF MATERIALS SCIENCE. MATERIALS IN MEDICINE","ASTRONOMIA / FISICA","B1"
"1573-4838","JOURNAL OF MATERIALS SCIENCE. MATERIALS IN MEDICINE (DORDRECHT. ONLINE)","ASTRONOMIA / FISICA","B1"
"0022-247X","JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS (PRINT)","ASTRONOMIA / FISICA","B3"
"0259-9791","JOURNAL OF MATHEMATICAL CHEMISTRY","ASTRONOMIA / FISICA","B3"
"0022-2488","JOURNAL OF MATHEMATICAL PHYSICS","ASTRONOMIA / FISICA","B2"
"2159-5275","JOURNAL OF MECHANICS ENGINEERING AND AUTOMATION","ASTRONOMIA / FISICA","C"
"2329-4302","JOURNAL OF MEDICAL IMAGING","ASTRONOMIA / FISICA","C"
"0022-2623","JOURNAL OF MEDICINAL CHEMISTRY","ASTRONOMIA / FISICA","A2"
"1096-620X","JOURNAL OF MEDICINAL FOOD","ASTRONOMIA / FISICA","B3"
"1996-0875","JOURNAL OF MEDICINAL PLANTS RESEARCH","ASTRONOMIA / FISICA","C"
"0376-7388","JOURNAL OF MEMBRANE SCIENCE","ASTRONOMIA / FISICA","A2"
"1057-7157","JOURNAL OF MICROELECTROMECHANICAL SYSTEMS","ASTRONOMIA / FISICA","B2"
"0265-2048","JOURNAL OF MICROENCAPSULATION","ASTRONOMIA / FISICA","B2"
"0960-1317","JOURNAL OF MICROMECHANICS AND MICROENGINEERING (PRINT)","ASTRONOMIA / FISICA","B2"
"2179-1074","JOURNAL OF MICROWAVES, OPTOELECTRONICS AND ELECTROMAGNETIC APPLICATIONS","ASTRONOMIA / FISICA","B5"
"2308-8044","JOURNAL OF MODERN MEDICINAL CHEMISTRY","ASTRONOMIA / FISICA","C"
"0950-0340","JOURNAL OF MODERN OPTICS (PRINT)","ASTRONOMIA / FISICA","B3"
"2153-1196","JOURNAL OF MODERN PHYSICS","ASTRONOMIA / FISICA","C"
"2153-120X","JOURNAL OF MODERN PHYSICS","ASTRONOMIA / FISICA","C"
"0022-2836","JOURNAL OF MOLECULAR BIOLOGY","ASTRONOMIA / FISICA","A2"
"1381-1169","JOURNAL OF MOLECULAR CATALYSIS. A, CHEMICAL (PRINT)","ASTRONOMIA / FISICA","A2"
"1381-1177","JOURNAL OF MOLECULAR CATALYSIS. B, ENZYMATIC (PRINT)","ASTRONOMIA / FISICA","B1"
"1093-3263","JOURNAL OF MOLECULAR GRAPHICS & MODELLING","ASTRONOMIA / FISICA","B2"
"0167-7322","JOURNAL OF MOLECULAR LIQUIDS (PRINT)","ASTRONOMIA / FISICA","B1"
"0948-5023","JOURNAL OF MOLECULAR MODELING (ONLINE)","ASTRONOMIA / FISICA","B2"
"1610-2940","JOURNAL OF MOLECULAR MODELING (PRINT)","ASTRONOMIA / FISICA","B2"
"0022-2852","JOURNAL OF MOLECULAR SPECTROSCOPY (PRINT)","ASTRONOMIA / FISICA","B2"
"0022-2860","JOURNAL OF MOLECULAR STRUCTURE","ASTRONOMIA / FISICA","B2"
"0022-2860","JOURNAL OF MOLECULAR STRUCTURE (PRINT)","ASTRONOMIA / FISICA","B2"
"1661-9897","JOURNAL OF NANO RESEARCH (ONLINE)","ASTRONOMIA / FISICA","B5"
"1662-5250","JOURNAL OF NANO RESEARCH (PRINT)","ASTRONOMIA / FISICA","B5"
"1477-3155","JOURNAL OF NANOBIOTECHNOLOGY","ASTRONOMIA / FISICA","A2"
"2169-432X","JOURNAL OF NANOFLUIDS","ASTRONOMIA / FISICA","C"
"1687-4129","JOURNAL OF NANOMATERIALS","ASTRONOMIA / FISICA","B2"
"1687-4110","JOURNAL OF NANOMATERIALS (PRINT)","ASTRONOMIA / FISICA","B2"
"2157-7439","JOURNAL OF NANOMEDICINE & NANOTECHNOLOGY","ASTRONOMIA / FISICA","C"
"1388-0764","JOURNAL OF NANOPARTICLE RESEARCH","ASTRONOMIA / FISICA","B1"
"1572-896X","JOURNAL OF NANOPARTICLE RESEARCH (ONLINE)","ASTRONOMIA / FISICA","B1"
"2167-9312","JOURNAL OF NANOPHARMACEUTICS AND DRUG DELIVERY","ASTRONOMIA / FISICA","C"
"1934-2608","JOURNAL OF NANOPHOTONICS","ASTRONOMIA / FISICA","B2"
"1533-4880","JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY","ASTRONOMIA / FISICA","B3"
"1533-4880","JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY (PRINT)","ASTRONOMIA / FISICA","B3"
"1790-4439","JOURNAL OF NANOSTRUCTURED POLYMERS AND NANOCOMPOSITES: THE INTERNATIONAL FORUM FOR NANOSTRUCTURED POLYMERS AND NANOCOMPOSITES RESEARCH","ASTRONOMIA / FISICA","C"
"1949-2944","JOURNAL OF NANOTECHNOLOGY IN ENGINEERING AND MEDICINE","ASTRONOMIA / FISICA","C"
"0163-3864","JOURNAL OF NATURAL PRODUCTS (PRINT)","ASTRONOMIA / FISICA","B1"
"1051-2284","JOURNAL OF NEUROIMAGING","ASTRONOMIA / FISICA","B3"
"0340-5354","JOURNAL OF NEUROLOGY (PRINT)","ASTRONOMIA / FISICA","B1"
"0022-3050","JOURNAL OF NEUROLOGY, NEUROSURGERY AND PSYCHIATRY","ASTRONOMIA / FISICA","A2"
"0022-3077","JOURNAL OF NEUROPHYSIOLOGY","ASTRONOMIA / FISICA","B2"
"0165-0270","JOURNAL OF NEUROSCIENCE METHODS","ASTRONOMIA / FISICA","B2"
"0897-7151","JOURNAL OF NEUROTRAUMA","ASTRONOMIA / FISICA","B1"
"0022-3093","JOURNAL OF NON-CRYSTALLINE SOLIDS","ASTRONOMIA / FISICA","B2"
"0218-8635","JOURNAL OF NONLINEAR OPTICAL PHYSICS AND MATERIALS","ASTRONOMIA / FISICA","B5"
"0022-3115","JOURNAL OF NUCLEAR MATERIALS","ASTRONOMIA / FISICA","B1"
"2321-8649","JOURNAL OF NUCLEAR PHYSICS, MATERIAL SCIENCES, RADIATION AND APPLICATIONS","ASTRONOMIA / FISICA","C"
