"ISSN","TITULO","AREA DE AVALIACAO","ESTRATO"
"1518-9929","ADM. MADE (UNIVERSIDADE ESTACIO DE SA)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B2"
"2237-5139","ADM.MADE","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B2"
"0095-3997","ADMINISTRATION & SOCIETY","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A1"
"2316-7548","ADMINISTRACAO DE EMPRESAS EM REVISTA","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B3"
"1516-5779","ADMINISTRACAO EM DIALOGO","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"2175-5787","ADMINISTRACAO PUBLICA E GESTAO SOCIAL","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B1"
"2177-6083","ADMINISTRACAO: ENSINO E PESQUISA","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B1"
"2358-0917","ADMINISTRACAO: ENSINO E PESQUISA (RAEP)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B1"
"2177-6083","ADMINISTRACAO: ENSINO E PESQUISA (RAEP)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B1"
"2358-0917","ADMINISTRACAO:ENSINO E PESQUISA","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B1"
"1983-7089","ADMPG: GESTAO ESTRATEGICA.","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B5"
"1679-9941","ADOLESCENCIA & SAUDE (UERJ)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B2"
"0882-6110","ADVANCES IN ACCOUNTING","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A2"
"0098-9258","ADVANCES IN CONSUMER RESEARCH","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A2"
"2329-888X","ADVANCES IN DAIRY RESEARCH","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"2357-8181","ADVANCES IN FORESTRY SCIENCE","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B3"
"2194-5357","ADVANCES IN INTELLIGENT SYSTEMS AND COMPUTING","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B2"
"1474-7979","ADVANCES IN INTERNATIONAL MARKETING","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A2"
"1983-8611","ADVANCES IN SCIENTIFIC AND APPLIED ACCOUNTING","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A2"
"1984-5634","AEDOS: REVISTA DO CORPO DISCENTE DO PROGRAMA DE POS-GRADUACAO EM HISTORIA DA UFRGS (ONLINE)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"1017-6772","AFRICAN DEVELOPMENT REVIEW (PRINT)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A2"
"2046-8091","AFRICAN JOURNAL OF ACCOUNTING, AUDITING AND FINANCE (ONLINE)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B2"
"2318-8499","AGENDA POLITICA","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B3"
"1981-9862","AGENDA SOCIAL (UENF)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B5"
"0103-3557","AGORA (FLORIANOPOLIS)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
